prompt,response,response_id,quality_label,length,prompt_response_sim,repeated_words
What is the tallest mountain in the world?,"The tallest mountain in the world is Mount Everest, standing at 8,848 meters in the Himalayas.",1,2,12,0.8790109,3
What is the tallest mountain in the world?,Mount Everest is the tallest mountain.,2,1,6,0.8766401,0
What is the tallest mountain in the world?,I don’t know.,3,0,3,0.07446447,0
Explain the process of evaporation.,"Evaporation is the process where water molecules gain energy, usually from heat, and turn into vapor, rising into the air.",4,2,14,0.79754424,2
Explain the process of evaporation.,Water turns into vapor.,5,1,4,0.51444596,0
Explain the process of evaporation.,Water goes away.,6,0,3,0.7168972,0
Describe the taste of chocolate.,"Chocolate has a rich, sweet taste with a smooth, creamy texture and hints of cocoa bitterness.",7,2,13,0.7502805,1
Describe the taste of chocolate.,Chocolate tastes sweet.,8,1,3,0.5931845,0
Describe the taste of chocolate.,It’s good.,9,0,2,0.46043962,0
How do you bake a chocolate cake?,"To bake a chocolate cake, mix flour, sugar, cocoa, eggs, and butter, then bake at 350°F for 30-35 minutes.",10,2,16,0.6427235,1
How do you bake a chocolate cake?,Mix ingredients and bake.,11,1,4,0.5758364,0
How do you bake a chocolate cake?,Use chocolate.,12,0,2,0.6776123,0
List three uses of a smartphone.,"Smartphones are used for communication, browsing the internet, and taking photos.",13,2,9,0.70509017,0
List three uses of a smartphone.,"Phone, internet, camera.",14,1,3,0.8248358,0
List three uses of a smartphone.,It’s a phone.,15,0,3,0.664435,0
What causes rainbows to appear?,"Rainbows appear when sunlight refracts, reflects, and scatters in water droplets, splitting into colors.",16,2,11,0.817495,0
What causes rainbows to appear?,Sunlight and water make rainbows.,17,1,5,0.8691994,0
What causes rainbows to appear?,Colors in the sky.,18,0,4,0.7494371,0
Write a short poem about summer.,"Warm sun shines so bright, Gentle breeze and blooming flowers, Summer days delight.",19,2,11,0.4442131,0
Write a short poem about summer.,Summer is hot and fun.,20,1,5,0.54806376,0
Write a short poem about summer.,Hot.,21,0,1,0.5627019,0
