prompt,response,response_id,quality_label,length,prompt_response_sim
What is the tallest mountain in the world?,What is the tallest mountain in the world? (This is a high-quality response with detail and clarity.),1,2,17,0
What is the tallest mountain in the world?,What... (This is a medium-quality response with some detail.),2,1,9,0
What is the tallest mountain in the world?,What (Low response.),3,0,3,0
Explain the process of evaporation.,Explain the process of evaporation. (This is a high-quality response with detail and clarity.),4,2,14,0
Explain the process of evaporation.,Explain... (This is a medium-quality response with some detail.),5,1,9,0
Explain the process of evaporation.,Explain (Low response.),6,0,3,0
Describe the taste of chocolate.,Describe the taste of chocolate. (This is a high-quality response with detail and clarity.),7,2,14,0
Describe the taste of chocolate.,Describe... (This is a medium-quality response with some detail.),8,1,9,0
Describe the taste of chocolate.,Describe (Low response.),9,0,3,0
How do you bake a chocolate cake?,How do you bake a chocolate cake? (This is a high-quality response with detail and clarity.),10,2,16,0
How do you bake a chocolate cake?,How... (This is a medium-quality response with some detail.),11,1,9,0
How do you bake a chocolate cake?,How (Low response.),12,0,3,0
List three uses of a smartphone.,List three uses of a smartphone. (This is a high-quality response with detail and clarity.),13,2,15,0
List three uses of a smartphone.,List... (This is a medium-quality response with some detail.),14,1,9,0
List three uses of a smartphone.,List (Low response.),15,0,3,0
What causes rainbows to appear?,What causes rainbows to appear? (This is a high-quality response with detail and clarity.),16,2,14,0
What causes rainbows to appear?,What... (This is a medium-quality response with some detail.),17,1,9,0
What causes rainbows to appear?,What (Low response.),18,0,3,0
Write a short poem about summer.,Write a short poem about summer. (This is a high-quality response with detail and clarity.),19,2,15,0
Write a short poem about summer.,Write... (This is a medium-quality response with some detail.),20,1,9,0
Write a short poem about summer.,Write (Low response.),21,0,3,0
What are the benefits of exercise?,What are the benefits of exercise? (This is a high-quality response with detail and clarity.),22,2,15,0
What are the benefits of exercise?,What... (This is a medium-quality response with some detail.),23,1,9,0
What are the benefits of exercise?,What (Low response.),24,0,3,0
Summarize the plot of Hamlet.,Summarize the plot of Hamlet. (This is a high-quality response with detail and clarity.),25,2,14,0
Summarize the plot of Hamlet.,Summarize... (This is a medium-quality response with some detail.),26,1,9,0
Summarize the plot of Hamlet.,Summarize (Low response.),27,0,3,0
Define artificial intelligence.,Define artificial intelligence. (This is a high-quality response with detail and clarity.),28,2,12,0
Define artificial intelligence.,Define... (This is a medium-quality response with some detail.),29,1,9,0
Define artificial intelligence.,Define (Low response.),30,0,3,0
What is the capital of Japan?,What is the capital of Japan? (This is a high-quality response with detail and clarity.),31,2,15,0
What is the capital of Japan?,What... (This is a medium-quality response with some detail.),32,1,9,0
What is the capital of Japan?,What (Low response.),33,0,3,0
Translate 'Good morning' to Spanish.,Translate 'Good morning' to Spanish. (This is a high-quality response with detail and clarity.),34,2,14,0
Translate 'Good morning' to Spanish.,Translate... (This is a medium-quality response with some detail.),35,1,9,0
Translate 'Good morning' to Spanish.,Translate (Low response.),36,0,3,0
Explain how a car engine works.,Explain how a car engine works. (This is a high-quality response with detail and clarity.),37,2,15,0
Explain how a car engine works.,Explain... (This is a medium-quality response with some detail.),38,1,9,0
